MERCADO;PRIORIDAD;THE NOTE;DIENUM;CLIENTE;SOITEM;TEMPER;ALLOY;LEN;FINISH;RUTA;PRENSA;PZS;KG;X;ESTADO;PESO LINEAL;PXP
GMP;P5 2025 O ;(en blanco);2400 ST- 004;2-C.I. ENERGIA SOLAR S.A.;151297-1;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 4;30;129,6;PENDIENTE;;0,696774194;4,32
GMP;P5 2025 O ;(en blanco);2400 ST- 006;2-C.I. ENERGIA SOLAR S.A.;151297-3;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;6;41,04;PENDIENTE;;1,103225806;6,84
GMP;P5 2025 O ;(en blanco);2400 ST- 007;2-C.I. ENERGIA SOLAR S.A.;151297-4;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-2;4;29,84;PENDIENTE;;1,203225806;7,46
GMP;P5 2025 O ;(en blanco);2400 ST- 007;2-C.I. ENERGIA SOLAR S.A.;151297-7;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-2;3;18,42;PENDIENTE;;1,203921569;6,14
GMP;P5 2025 O ;(en blanco);2400 ST- 008;2-C.I. ENERGIA SOLAR S.A.;151297-2;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-4;7;57,61;PENDIENTE;;1,327419355;8,23
GMP;P5 2025 O ;(en blanco);2400 ST- 009;2-C.I. ENERGIA SOLAR S.A.;151297-5;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-1;10;70,4;PENDIENTE;;1,135483871;7,04
GMP;P5 2025 O ;(en blanco);2400 ST- 009;2-C.I. ENERGIA SOLAR S.A.;151297-8;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-1;5;28,95;PENDIENTE;;1,135294118;5,79
GMP;P5 2025 O ;(en blanco);2400 ST- 012;2-C.I. ENERGIA SOLAR S.A.;151297-11;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;5;29,8;PENDIENTE;;1,168627451;5,96
GMP;P5 2025 O ;(en blanco);2400 ST- 012;2-C.I. ENERGIA SOLAR S.A.;151297-6;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;10;72,5;PENDIENTE;;1,169354839;7,25
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151261-33;T5;6005;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 9-2;8;160,88;PENDIENTE;;3,243548387;20,11
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151261-78;T5;6005;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 9-2;7;115,78;PENDIENTE;;3,243137255;16,54
GMP;P5 2025 O ;(en blanco);2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151297-12;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9-2;39;733,98;PENDIENTE;;3,244827586;18,82
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 042;2-C.I. ENERGIA SOLAR S.A.;151261-79;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 7-2;6;70,26;PENDIENTE;;2,296078431;11,71
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-130;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;15;49,95;PENDIENTE;;0,537096774;3,33
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-234;T6;6063;5,1;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;7;19,18;PENDIENTE;;0,537254902;2,74
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-80;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;14;46,62;PENDIENTE;;0,537096774;3,33
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-81;T6;6063;5,1;2604 Bone White;PINTURA;PRENSA 7-4;8;21,92;PENDIENTE;;0,537254902;2,74
GMP;P5 2025 O ;(en blanco);2400ST-071  ;2-C.I. ENERGIA SOLAR S.A.;151297-13;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9;12;305,16;PENDIENTE;;4,384482759;25,43
GMP;P5 2025 O ;(en blanco);2400ST-072  ;2-C.I. ENERGIA SOLAR S.A.;151297-14;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9-2;18;459,54;PENDIENTE;;4,401724138;25,53
